Index,Species,PFG
4,4,61
6,6,99
8,8,115
11,11,115
17,17,111
18,18,42
26,26,101
27,27,101
29,29,101
30,30,134
40,40,129
42,42,101
52,52,118
63,63,118
66,66,118
78,78,128
84,84,101
85,85,113
87,87,111
88,88,128
90,90,111
106,106,101
116,116,101
119,119,104
124,124,111
125,125,42
133,133,122
137,137,159
141,141,93
147,147,102
154,154,119
155,155,104
156,156,107
162,162,115
167,167,107
171,171,62
181,181,77
187,187,70
191,191,71
195,195,77
197,197,151
203,203,126
211,211,68
212,212,113
213,213,30
215,215,66
216,216,113
219,219,126
226,226,88
232,232,154
238,238,63
244,244,84
245,245,62
247,247,75
249,249,81
256,256,93
257,257,69
261,261,68
264,264,89
266,266,119
